item_code,name,raw_name,cas_no,formula,grade,package_size,base_unit,packaging,needs_review
AS198197,"Asiatic Acid","Asiatic Acid 500 mg /ขวด",,,,500,mg,ขวด,
AS198196,"Madecassic Acid","Madecassic Acid 100 mg /ขวด",,,,100,mg,ขวด,
AS198193,"Helium gas grade 7 คิว","Helium gas UHP grade 7 คิว /ถัง",,,UHP,,,ถัง,YES
AS198188,"กรด 2,4-ไดคลอโรฟีนอกซีอะซิติก","กรด 2,4-ไดคลอโรฟีนอกซีอะซิติก 100 g /ขวด",,,,100,g,ขวด,
AS198187,"โซเดียมไฮดรอกไซด์ 0.1 N","โซเดียมไฮดรอกไซด์ 0.1 N 1 ลิตร /ขวด",,,,1,L,ขวด,
AS198186,L-Proline,"L-Proline 10 mg /ขวด",,,,10,mg,ขวด,
AS198185,"Potassium persulfate","Potassium persulfate 100 g /ขวด",,,,100,g,ขวด,
AS198183,"PEG 3350 Solution Cosmetic liquid","PEG 3350 Solution Cosmetic liquid 1 kg /ขวด",,,,1,kg,ขวด,
AS198182,"Chlorhexidine Gluconate (CHG 20%) Cosmetic liquid","Chlorhexidine Gluconate (CHG 20%) Cosmetic liquid 1 kg /ขวด",,,,1,kg,ขวด,
AS198141,"Isopropyl alcohol liquid","Isopropyl alcohol AR liquid 2.5 L /ขวด",,,AR,2.5,L,ขวด,
AS198140,"Benzyl alcohol liquid","Benzyl alcohol AR liquid 2.5 L /ขวด",,,AR,2.5,L,ขวด,
AS198139,"Diclofenac sodium 99% solid","Diclofenac sodium 99% AR solid 100 g /ขวด",,,AR,100,g,ขวด,
AS198138,"Amlodipine besylate 98% solid","Amlodipine besylate 98% AR solid 25 g /ขวด",,,AR,25,g,ขวด,
AS198137,"Metformin hydrochloride 97% solid","Metformin hydrochloride 97% AR solid 100 g /ขวด",,,AR,100,g,ขวด,
AS198136,"Ibuprofen 98% solid","Ibuprofen 98% AR solid 100 g /ขวด",,,AR,100,g,ขวด,
AS198135,"n-Octanol liquid","n-Octanol AR liquid 500 ml /ขวด",,,AR,500,mL,ขวด,
AS198134,"Sulfadiazine sodium salt 98% solid","Sulfadiazine sodium salt 98% AR solid 100 g /ขวด",,,AR,100,g,ขวด,
AS198133,"Sodium phosphate dibasic heptahydrate solid","Sodium phosphate dibasic heptahydrate AR solid 100 g /ขวด",,,AR,100,g,ขวด,
AS198132,"Ammonia solution 28-30% L 2.5","Ammonia solution 28-30% L 2.5 /ขวด",,,,,,ขวด,YES
AS198112,"VX Factor Discs (50disc","VX Factor Discs (50disc) /กล่อง",,,,,,กล่อง,YES
AS198111,"V-Factor Disc (50disc","V-Factor Disc (50disc) /กล่อง",,,,,,กล่อง,YES
AS198110,"X Factor Discs (50disc","X Factor Discs (50disc) /กล่อง",,,,,,กล่อง,YES
AS198109,"Vancomycin hydrochloride .","Vancomycin hydrochloride 250mg. /ขวด",,,,250,mg,ขวด,
AS198108,"Peptone bacto .","Peptone bacto 500g. /ขวด",,,,500,g,ขวด,
AS198107,"Colistin sulfate salt .","Colistin sulfate salt 1g. /ขวด",,,,1,g,ขวด,
AS198106,"Potato dextrose agar .","Potato dextrose agar 500g. /ขวด",,,,500,g,ขวด,
AS198105,"Brain heart infusion broth .","Brain heart infusion broth 500g. /ขวด",,,,500,g,ขวด,
AS198103,"Phosphate Buffered Saline (PBS) pH 7.4 .","Phosphate Buffered Saline (PBS) pH 7.4 500g. /ขวด",,,,500,g,ขวด,
AS198102,"Bovine serum albumin .","Bovine serum albumin 100g. /ขวด",,,,100,g,ขวด,
AS198101,"Sodium chloride 99% .","Sodium chloride 99% 1kg. /ขวด",,,,1,kg,ขวด,
AS198100,"IRON (III) CHLORIDE HEXAHYDRATE","IRON (III) CHLORIDE HEXAHYDRATE 500 กรัม /ขวด",,,,500,g,ขวด,
AS198099,"Starch M-Protein agar (SCA","Starch M-Protein agar (SCA) 500 กรัม /ขวด",,,,500,g,ขวด,
AS198098,Resazurin,"Resazurin /ขวด",,,,,,ขวด,YES
AS198097,D-cycloserine,"D-cycloserine /ขวด",,,,,,ขวด,YES
AS198095,"Petrifilm E.coli/coliform count plate 3M 50 แผ่น","Petrifilm E.coli/coliform count plate 3M 50 แผ่น /กล่อง",,,,,,กล่อง,YES
AS198094,"Petrifilm Yeast and mold 3M 100 แผ่น","Petrifilm Yeast and mold 3M 100 แผ่น /กล่อง",,,,,,กล่อง,YES
AS198093,"Kanamycin disc 5 vial","Kanamycin disc 30 ug 5 vial /กล่อง",,,,30,ug,กล่อง,
AS198092,L-TRYPTOPHAN,"L-TRYPTOPHAN 5 กรัม /ขวด",,,,5,g,ขวด,
AS198091,"Fast blue B salt","Fast blue B salt 25 กรัม /ขวด",,,,25,g,ขวด,
AS198090," Mueller Hinton Broth (MHB"," Mueller Hinton Broth (MHB) 500 กรัม /ขวด",,,,500,g,ขวด,
AS198042,"กรดซัลฟิวริก (H₂SO) .","กรดซัลฟิวริก (H₂SO) 1.5 กก. /ขวด",,,,1.5,kg,ขวด,
